순번	업소명	소재지(도로명)	메뉴카테고리	하위 분류
79	마이카츠 현풍테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로 112, 113호	다국적음식	일본음식
80	장여사의 나뭇잎형 만두 매콤한 양념오뎅	대구광역시 달성군 유가읍 테크노상업로 112, 1동 109호	분식&패스트푸드&샐러드	
81	한솥도시락 테크노폴리스 봉리점	대구광역시 달성군 유가읍 테크노상업로 112, 1층 103호	분식&패스트푸드&샐러드	도시락
82	카페봄봄(테크노폴리스1호점)	대구광역시 달성군 유가읍 테크노상업로 112, 1층 105호	카페&디저트	
83	안흥찐빵,만두&노랑남비990	대구광역시 달성군 유가읍 테크노상업로 112, 1층 107호	분식&패스트푸드&샐러드	
84	라라코스트 테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로 120, 4층 413, 414	다국적음식	퓨전음식
85	해마푸드 - 즉석코너	대구광역시 달성군 유가읍 테크노상업로 120, OK포인트마트 달성점	확인필요	
86	그리너(greener) 테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로 120, 엠스퀘어플러스 107호	분식&패스트푸드&샐러드	
87	김밥 면 맛나분식	대구광역시 달성군 유가읍 테크노상업로 120, 엠스퀘어플러스 1-2층 134호	분식&패스트푸드&샐러드	
88	유미게장 현풍점	대구광역시 달성군 유가읍 테크노상업로 120, 엠스퀘어플러스 133호	한식	게장
89	땅스부대찌개 테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로 120, 엠스퀘어플러스 149호	한식	찌개
90	잭슨비어	대구광역시 달성군 유가읍 테크노상업로 120, 엠스퀘어플러스 1층 101,140,141호	확인필요	
91	홍장 옛날통닭집 현풍점	대구광역시 달성군 유가읍 테크노상업로 120, 엠스퀘어플러스 1층 112호	치킨&찜닭	치킨
92	던킨 현풍테크노점	대구광역시 달성군 유가읍 테크노상업로 120, 엠스퀘어플러스 1층 113호	카페&디저트	도넛
93	하삼동	대구광역시 달성군 유가읍 테크노상업로 120, 엠스퀘어플러스 1층 114호	카페&디저트	
94	신달구지막창 테크노점	대구광역시 달성군 유가읍 테크노상업로 120, 엠스퀘어플러스 1층 118호	막창&곱창	
95	카프리쵸샤	대구광역시 달성군 유가읍 테크노상업로 120, 엠스퀘어플러스 1층 119,121,122호	카페&디저트	
96	오월애 빵집	대구광역시 달성군 유가읍 테크노상업로 120, 엠스퀘어플러스 1층 138호	카페&디저트	
97	미미네푸드마켓	대구광역시 달성군 유가읍 테크노상업로 120, 엠스퀘어플러스 1층 142(일부)호	확인필요	
98	[확인필요]마이어묵	대구광역시 달성군 유가읍 테크노상업로 120, 엠스퀘어플러스 1층 142호	분식&패스트푸드&샐러드	
99	[확인필요] 추닭집 테크노점	대구광역시 달성군 유가읍 테크노상업로 120, 엠스퀘어플러스 1층 142호	확인필요	
100	잭슨푸드	대구광역시 달성군 유가읍 테크노상업로 120, 엠스퀘어플러스 3층 309호	확인필요	
101	파리바게뜨 테크노유가점	대구광역시 달성군 유가읍 테크노상업로 120, 테크노폴리스 M스퀘어+ 1층 111호	카페&디저트	
102	언니야 떡볶이	대구광역시 달성군 유가읍 테크노상업로 120, (OK포인트마트 내부)	분식&패스트푸드&샐러드	
103	호떡공장	대구광역시 달성군 유가읍 테크노상업로 82, 1동 2층 209호	카페&디저트	호떡
104	미카도스시 대구현풍점	대구광역시 달성군 유가읍 테크노상업로 82, 1층 103,104호	다국적음식	일본음식
105	공차 대구테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로 82, 1층 105,106호	카페&디저트	
106	돈결	대구광역시 달성군 유가읍 테크노상업로 82, 205, 206호	고기구이	돼지
107	피자스쿨 대구테크노점	대구광역시 달성군 유가읍 테크노상업로 82, 2층 207호	분식&패스트푸드&샐러드	피자
108	정성가득김밥달인	대구광역시 달성군 유가읍 테크노상업로 84, 101호	분식&패스트푸드&샐러드	
109	스타벅스 대구테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로 84, 105호, 106호, 107호	카페&디저트	
110	스텔라떡볶이(대구테크노현풍점)	대구광역시 달성군 유가읍 테크노상업로 84, 1층 102호	분식&패스트푸드&샐러드	
111	쏘핫 마라탕 마라샹궈	대구광역시 달성군 유가읍 테크노상업로 84, 1층 108호	다국적음식	중국음식
112	오는정 숯불갈비	대구광역시 달성군 유가읍 테크노상업로 84, 1층 110,111호	고기구이	돼지, 소
113	더 포 테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로 84, 203호,204호	다국적음식	베트남음식
114	연돈튀김덮밥 대구현풍테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로 96, 104호	다국적음식	퓨전음식
115	디저트39 대구테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로 96, 109호 (파스텔시티)	카페&디저트	
116	신전떡볶이 현풍테크노점	대구광역시 달성군 유가읍 테크노상업로 96, 110호	분식&패스트푸드&샐러드	
117	두마리찜닭 두찜 대구테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로 96, 111호	치킨&찜닭	찜닭
118	옹기종기땅콩빵(테크노폴리스점)	대구광역시 달성군 유가읍 테크노상업로 96, 1층 101호	카페&디저트	땅콩빵
119	오지(OG) 버거	대구광역시 달성군 유가읍 테크노상업로 96, 1층 105호	분식&패스트푸드&샐러드	햄버거
120	이&이 김밥	대구광역시 달성군 유가읍 테크노상업로 96, 1층 108호	분식&패스트푸드&샐러드	
121	라면 카페	대구광역시 달성군 유가읍 테크노상업로 96, 2층 205호	분식&패스트푸드&샐러드	
122	우리할매떡볶이	대구광역시 달성군 유가읍 테크노상업로 98, 112호	분식&패스트푸드&샐러드	
123	빽다방 달성테크노점	대구광역시 달성군 유가읍 테크노상업로 98, 1층 103호	카페&디저트	
124	떡보의 하루	대구광역시 달성군 유가읍 테크노상업로 98, 1층 107호	카페&디저트	떡
125	천냥빵떡대장	대구광역시 달성군 유가읍 테크노상업로 98, 1층 107호	카페&디저트	
126	마실커피 테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로 98, 1층 109호	카페&디저트	
127	정(情) 카스테라	대구광역시 달성군 유가읍 테크노상업로 98, 1층 110호	확인필요	
128	강다짐(현풍테크노폴리스점)	대구광역시 달성군 유가읍 테크노상업로 98, 1층 114호	분식&패스트푸드&샐러드	
129	뜨돈 테크노점	대구광역시 달성군 유가읍 테크노상업로 98, 201호 (비슬타워)	다국적음식	일본음식
130	탕화쿵푸마라탕 현풍테크노점	대구광역시 달성군 유가읍 테크노상업로 98, 202호 (비슬타워)	다국적음식	중국음식
131	유가네왕만두	대구광역시 달성군 유가읍 테크노상업로 98, 비슬타워 104호	분식&패스트푸드&샐러드	
132	가장 맛있는 족발	대구광역시 달성군 유가읍 테크노상업로4길 12, 102호, 103호	족발&보쌈	족발
133	뚜레쥬르 테크노유가점	대구광역시 달성군 유가읍 테크노상업로4길 12, 105호	카페&디저트	
134	더벤티 테크노중앙점	대구광역시 달성군 유가읍 테크노상업로4길 12, 107호	카페&디저트	
135	송미미네집 테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로4길 12, 108호	고기구이	돼지
136	홍콩반점 0410 달성테크노점	대구광역시 달성군 유가읍 테크노상업로4길 12, 109호,110호	다국적음식	중국음식
137	춘리마라탕 현풍테크노점	대구광역시 달성군 유가읍 테크노상업로4길 12, 1층 101호	다국적음식	중국음식
138	호랭이 닭강정	대구광역시 달성군 유가읍 테크노상업로4길 12, 1층 104호	치킨&찜닭	닭강정
139	만만한 맥주	대구광역시 달성군 유가읍 테크노상업로4길 12, 1층 112호	술집	한식술집
140	박대박왕소금구이	대구광역시 달성군 유가읍 테크노상업로4길 14, 102호, 103호	고기구이	돼지
141	고동집	대구광역시 달성군 유가읍 테크노상업로4길 14, 105호	회해산물	소라오징어
142	마왕족발 대구현풍점	대구광역시 달성군 유가읍 테크노상업로4길 14, 109호	족발&보쌈	족발
143	현풍소갈비	대구광역시 달성군 유가읍 테크노상업로4길 14, 110호	고기구이	소
144	송송수산	대구광역시 달성군 유가읍 테크노상업로4길 14, 112호	회해산물	대게
145	무명	대구광역시 달성군 유가읍 테크노상업로4길 14, 1층 101호	술집	맥주
146	공공맥주	대구광역시 달성군 유가읍 테크노상업로4길 14, 1층 104호	술집	맥주
147	메가엠지씨커피 대구테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로4길 14, 1층 107호	카페&디저트	
148	생활맥주 대구현풍테크노폴리스점	대구광역시 달성군 유가읍 테크노상업로4길 14, 1층 108호	술집	맥주
149	빙수당 대구현풍점	대구광역시 달성군 유가읍 테크노상업로4길 14, 1층 111호	카페&디저트	빙수
150	시아네포차	대구광역시 달성군 유가읍 테크노상업로4길 17-1, 107호	술집	포차
151	만추	대구광역시 달성군 유가읍 테크노상업로4길 17-1, 1층 102,103호	다국적음식	중국음식
152	미츠	대구광역시 달성군 유가읍 테크노상업로4길 17-1, 1층 104호	술집	이자카야
153	메가폭탄김치찜 대구현풍점	대구광역시 달성군 유가읍 테크노상업로4길 17-1, 1층 112호	한식	김치찜
154	닭동가리 현풍점	대구광역시 달성군 유가읍 테크노상업로4길 17-1, 리치안프라자 1층 101호	치킨&찜닭	치킨
155	브라운디어(Brown Deer)	대구광역시 달성군 유가읍 테크노상업로4길 17-1, 리치안프라자 1층 105호	술집	바
156	토닥토닭 찜닭	대구광역시 달성군 유가읍 테크노상업로4길 17-1, 리치안프라자 1층 111호	치킨&찜닭	찜닭
